kinase,-5P,-5G,-5A,-5C,-5S,-5T,-5V,-5I,-5L,-5M,-5F,-5Y,-5W,-5H,-5K,-5R,-5Q,-5N,-5D,-5E,-5s,-5t,-5y,-4P,-4G,-4A,-4C,-4S,-4T,-4V,-4I,-4L,-4M,-4F,-4Y,-4W,-4H,-4K,-4R,-4Q,-4N,-4D,-4E,-4s,-4t,-4y,-3P,-3G,-3A,-3C,-3S,-3T,-3V,-3I,-3L,-3M,-3F,-3Y,-3W,-3H,-3K,-3R,-3Q,-3N,-3D,-3E,-3s,-3t,-3y,-2P,-2G,-2A,-2C,-2S,-2T,-2V,-2I,-2L,-2M,-2F,-2Y,-2W,-2H,-2K,-2R,-2Q,-2N,-2D,-2E,-2s,-2t,-2y,-1P,-1G,-1A,-1C,-1S,-1T,-1V,-1I,-1L,-1M,-1F,-1Y,-1W,-1H,-1K,-1R,-1Q,-1N,-1D,-1E,-1s,-1t,-1y,1P,1G,1A,1C,1S,1T,1V,1I,1L,1M,1F,1Y,1W,1H,1K,1R,1Q,1N,1D,1E,1s,1t,1y,2P,2G,2A,2C,2S,2T,2V,2I,2L,2M,2F,2Y,2W,2H,2K,2R,2Q,2N,2D,2E,2s,2t,2y,3P,3G,3A,3C,3S,3T,3V,3I,3L,3M,3F,3Y,3W,3H,3K,3R,3Q,3N,3D,3E,3s,3t,3y,4P,4G,4A,4C,4S,4T,4V,4I,4L,4M,4F,4Y,4W,4H,4K,4R,4Q,4N,4D,4E,4s,4t,4y
DYRK1B,20090376.1,23398695.15,18330126.6,58283572.81,25327141.65,22866606.87,12179952.27,19434845.88,15961428.2,14663546.27,16578258.47,19987411.73,16258361.34,24985524.7,30456981.5,52961458.77,17291557.39,18352638.36,13368810.55,11260582.53,16303067.41,16303067.41,17256010.97,20786434.75,19156351.28,18496715.01,18899397.52,30666081.36,21038037.97,11161611.54,12454728.13,15531651.05,14749578.74,13236921.44,20262520.74,17762320.01,17179700.22,24959075.96,62561484.41,16918662.74,16557877.65,32501316.34,14764493.43,18290580.88,18290580.88,13795024.67,23160933.34,29626559.85,18095111.23,17814057.01,25876710.57,25055860.34,8309070.56,7127941.13,10952728.57,11429428.68,9073922.07,23047320.19,12017109.7,16668818.99,21912958.3,132869712,16272130.43,15867160.46,12474348.16,9914452.17,12850928.84,12850928.84,12451519.66,41928393.47,15004031.69,37659372.83,74443798.21,49284348.8,32706942.24,15930052.15,12275015.63,15628130.64,12303511.86,5838073.33,7267532.51,12205150.08,7702864.8,10521991.21,60130954.62,9863326.36,13600752.34,4398402.66,4720768.82,10031760.88,10031760.88,7303688.01,28704990,19751530.08,18715950.69,15801113.98,24999143.56,21207261.04,11600387.99,8555281.23,12900635.02,17980876.66,10454797.62,17685302.75,14727501.73,15989558.67,27632920.41,33405029.23,19394154.38,14851572.31,10475559.27,10817656.12,7833687.45,7833687.45,13127075.43,182904224.9,15972409.71,7279668.92,7151166.88,17998480.54,15365659.98,7473224.62,3999054.93,3709677.75,11859728.87,3044764.26,2681414.92,4022019.16,4159870.9,7836864.57,15810232.4,4421941.57,3499730.5,2448276.24,2693325.45,7955111.45,7955111.45,8963250.98,14572503.62,12342378.83,13387955.67,18213191.86,31525492.89,31483933.71,18609317.18,18865241.49,19185955.8,15815576.43,18826987.76,15138579.67,15261141.64,17435778.87,9779190.22,11532267.38,13376499.42,15291406.99,13347964.4,11985181.46,15126954.27,15126954.27,12176689.9,41324117.44,17791406.6,12458100.55,16988718.64,19105537.21,14603777.81,12558051.81,17563411.89,22181310.64,21713432.27,18491314.01,13700063.72,13205778.47,24332841.47,11045681.58,12683642.83,15659076.37,17622728.41,13559421.76,16581240.23,9811598.66,9811598.66,12546572.79,16229373.41,16610369.76,14192777.94,17794843.41,14521808.17,14953338.77,15326973.58,20405265,19729180.34,23789830.87,30082592.31,17854170.11,19017851.86,19937335.19,14506217.14,14571900.66,16154294.95,16198556.74,15787006.73,14883920.72,16648210.35,16648210.35,17255072.75
DYRK2,21213057.35,24856813.93,23238687.16,26975952.18,37630510.47,32013796.61,17839015.55,17842914.9,18818024.22,18057364.25,21968582.86,26507644.31,21710563.09,24332254.73,18413706.6,36275450.53,17548270.29,18134795.19,19155070.95,18351408.47,22144163.14,22144163.14,25418184.4,25416618.72,21272878.38,19646473.43,21155056.65,41000061.47,29665494.03,15799206.51,17044548.86,17413665.3,19612877.73,17046854.82,17261088.07,20166227.34,18093342.88,17381315.88,49820665.72,16705695.33,15608917.38,17001114.65,18651986.66,20809689.44,20809689.44,24131654.61,23611578.27,42569711.39,21516595.46,23667124.27,32141358.86,24098601.84,13706172.29,13656661.71,15182977.53,14540358.13,10917897.65,14064956.74,13645642.55,19037585.66,18071234.12,125071756.3,17565207.23,16520810.34,14153337.55,12660044.58,15466685.9,15466685.9,18892970.88,51631339.96,17091814.08,35439890.26,48962689.5,57742140.48,37961273.46,22166327.09,15590738,17032903.67,15903057.69,9000091.72,7723574.72,8461195.06,9767225.4,8597769.3,42404798.43,10367996.53,13575971.08,5360644.9,5330717.68,9727931.35,9727931.35,7851669.19,32270993.59,22369171.68,24323144.74,19234223.17,37498934.98,26436876.68,17232833.44,13481967.12,15800414.5,22181976.31,13443474.97,19890975.6,12032388.9,18190422.11,21516049.29,28862411.95,20225131.19,16830494.61,12567314.19,15135164.17,7959325.81,7959325.81,18303194.52,181262741.5,11861889.62,15923878.79,10382546.03,27390838.75,21865682.4,14774261.81,7048972.28,5869733.86,6001089.99,3999970.75,3733275.69,3692034.84,4340334.16,6842079.78,38104642.16,8927415.66,5823920.15,3141913.28,4098631.81,7635906.04,7635906.04,9112185.13,12920239.17,13884183.46,19433992.02,22796051.15,50942438.59,46054938.43,22678917,23200228.39,26715888.66,27259599.51,17953747.43,15237679.75,17598807.46,16953621.35,9227762.87,11558262.08,20276008.08,19764270.06,19770890.71,17952679.58,32493883.06,32493883.06,14445729.47,57701129.93,32795059.41,19134311.56,20475821.14,35640202.14,19901768.13,14087845.28,16515065.27,22610959.68,21654782.93,19188667.04,14862364.92,18627255.46,18897469.53,11320702.18,14598746.9,18441882.41,17296459.56,16926299.29,16351845.67,15388421.73,15388421.73,14634761.93,24254776.68,24462800.44,19970838.52,24410411.02,22815904.45,18883012.84,19175441.87,20810942.04,20611276.63,25509065.63,25797248.07,19467960.24,20560704.78,20193622.96,17384597.16,16256750.44,20729909.51,19392798,23835398.02,16718528.41,26653909.48,26653909.48,19382970.79
DYRK3,9900071.39,10312445.54,9305159.18,10756444,12995536.78,13523312.57,7891690.05,11539741.82,9824949.94,9255003.31,11840724.91,13380989.37,10376440.65,12305451.9,12272338.22,27475605.67,8178584.43,8919256.53,7307141.27,7232206.46,10513007.18,10513007.18,12700450.3,9571396.17,10910507.23,9244267.81,10661564.36,13512034.8,12488028.94,7178942.91,9779243.88,9590455.33,9757886.83,9468989.82,10029738.2,10414012.45,10211133.05,11910714.06,34902863.11,7437220.57,7673162.64,7547367.15,8073114.67,8770649.86,8770649.86,7991167.92,6787013.04,20949296.89,8378819.17,10645827.85,9322651.24,8268374.51,4708867.45,5511061.7,5853234.57,6162234.22,5573677.63,6243664.84,6239906.57,8195603.44,12136707.5,104355480.4,6836552.77,6240121.44,5326408.14,4863340.46,6487666.09,6487666.09,7155763.19,20262341.5,7538633.83,12990500.01,23444823.86,19849536.98,14986711.52,7591401.45,6741964.99,6826930.01,7034756.69,3961097.92,3527819.93,4046921.17,5838651.32,7824926.43,68154787.55,6120395.94,5826292,1904709.19,2168596.39,3661588.82,3661588.82,3014200.73,12037942.64,10742789.14,10796954.55,10013882.45,14402117.38,11978124.09,6877184.87,6719950.29,8356435.87,11573733.16,7362711.04,11174279.55,6061083.46,9389433.39,13470262.55,20062823.41,9499216.33,7418786.02,4234861.95,5247935.06,3345120.3,3345120.3,6963903.7,72376255.2,6600699.49,6671617.47,5488819.34,11666762.7,10140124.97,8900371.61,4627964.14,2968688.94,3040839.67,2398742.4,2184177.33,2313802.97,2705795.38,4457267.18,24486790.36,3985406.85,2611587.11,1445596.69,1581140.08,2961843.6,2961843.6,3273956.7,6187413,5976859.77,7426990.68,11238335.49,19387719,16928986.07,9690584.11,11694386.8,12414088.48,12427782.93,10516475.56,9167231.71,8011249.83,10607912.17,6164373.08,9291775.63,7826553.88,7774575.27,7873272.36,6675508.53,12674741.05,12674741.05,6685358.21,19490031.92,14790332.31,8989623.71,11463624.12,14373781.2,8038255.47,6662442.96,8234575.8,12370429.85,12232051.66,11315594.93,8648656.84,8946914.87,12763643.48,7328535.79,10983468.63,8407310.86,7834254.23,6265869.57,6178548.97,5541487.06,5541487.06,7752254.89,8930351.84,10724297.86,7704557.39,11770472.79,9279110.15,7991903.81,7887467.7,9782846.96,9206146.83,13600356.44,13162419.64,10655853.4,13880864.68,11623848.43,9308265.6,11344314.31,9369191.75,9236161.35,7268646.59,7165855.8,9820039.23,9820039.23,8191916.6
DYRK4,31409996.74,33823954.74,30570598,35673163.67,46586967.88,41216910.14,24335962.4,27652751.14,25337556.32,23983221.37,33385058.97,39341737.54,20147365.77,34069304.55,28334333.12,60793235.96,31884976.68,27099865.22,25404014.71,24798905.46,30036658.93,30036658.93,44239966.96,40143949.08,34866112.32,32969191.41,33061205.98,63536555.45,38717922.22,22625637.81,29055706.5,27632831.06,27479695.01,22440685.42,26725348.3,27092202.89,29746111.66,26512258.24,77231169.02,28353454.09,22249894.56,24808798.56,26304144.09,26852667.02,26852667.02,27727068.54,34295964.98,42203400.42,34224512.25,35315398.13,40525912.12,26895068.58,15600960.38,16007778.3,20354274.46,21127576.99,15145743.61,18143442.96,17392001.98,28720650.55,25979802.19,179780290.5,26274291.95,23740859.83,18094157.55,17625702.59,19302812.62,19302812.62,22780754.17,76164505.38,25773100.1,63283082.5,106432074.5,96113812.66,55819471.52,26990763.29,20626726.08,22991667.99,22279147.86,9658269.07,9335096.63,8465530.25,13004929.69,11100022.88,83831503.93,16613391.56,23948528.24,7479039.81,7126595.08,17066347.05,17066347.05,10100532.22,42305924.65,31790677.6,31042746.85,27591224.25,44915487.45,31364789.41,23886805.73,18090039.15,20622148.19,28825442.87,16643992.67,26179951.53,14748946.7,22925877.46,21576030.23,35071566.83,23845941.63,20998263.65,19178754.82,23781406.21,12548612.78,12548612.78,25765100.53,326041857.5,16724033.49,14011838.38,12382226.84,30146682.45,26957504.51,15751262.82,7300249.83,5498070.57,5731033.48,4531092.71,4376989.87,4448042.18,4711020.88,6209747.84,25346398.01,7256223.5,5435825.55,4668634.49,5149460.87,10218128.38,10218128.38,9959319.7,15950599.27,15960691.24,23338482.23,35258815.07,60813332.87,54549696.94,27120491.1,34301890.91,29914288.74,31200323.26,26210180.94,21374287.7,23069952.45,27577812.75,8052417.21,9311620.11,19865233.41,18730680.67,53362614.88,45963241.44,122144388.7,122144388.7,79381858.64,89011900.81,36328813.03,20460039.97,29655320.43,33037936.72,20580219.84,17744295.92,19395581.76,39586527.88,31308535.28,26059776.23,15847201.12,20212396.01,25333117.13,11919199.07,15420059.86,24572702.55,22972415.52,29942203.33,27431606.96,27635561.41,27635561.41,38179361.14,24830732.54,29331822.13,20438256.33,33424701.66,18053540.51,20653062.54,24095868.93,30252880.19,26780357.05,32842805.61,35322086.82,25467205.95,32250199.43,28587111.01,15054113.15,18606412.77,26526452.23,23987425.37,41200819.18,35384625.11,53568261.35,53568261.35,65175260.46
EEF2K,88208093.6,91623050.37,92876476.75,95278742.18,99377499.93,173017413.9,85346578.44,87294754.54,76707414.74,94596339.3,100963045.4,87959732.83,90795085,75104864.31,106215159.2,101561784.7,72842442.51,83805115.97,64311541.96,61697407.77,110588213,110588213,126173542.6,78770421.03,104710580.2,89254505.72,98481213.49,107993865,155203285.2,77651809.45,82590505.83,92435050.24,103439599,142306682.9,83210682.77,77022224.4,77853632.22,98702933.59,96104011.52,71663938.55,79825358.83,80861972.06,70342465.06,87067460.59,87067460.59,66802095,91729245.68,111904846.8,82105264.31,119457339.4,134465815.3,171728786.6,71773364.15,79960599.12,82449962.36,82699380.99,82122152.37,74927574.6,66857801.71,82149061.37,82445625.55,87905946.63,75549469.09,91890041.11,96267661.37,95469508.9,107392903.4,107392903.4,109641762.1,139019517.6,100344872.4,97826049.49,119133923.6,157979429.1,267768274.2,73899670.97,65542832.86,66591974.84,75191184.13,82930928.7,81472657.92,81697172.2,82441725.34,55968628.63,72791482.25,94419445.64,58154168.1,110041474.8,169850994,80696658.13,80696658.13,180471415.1,85750019.74,101906014.6,116168466.6,99706264.16,132646908.9,203070301.4,50631177.84,53410202.2,83046985.44,93712156.85,78690461.48,94725845.83,71985786.74,96094298.81,87326604.74,102030436.3,87812976.05,93237719.17,110639384.7,111597813.8,55308031,55308031,89632039.97,20125996.64,35587546.13,116545106.2,100090596.1,113185728.8,239235811.1,136882714,111549492.2,86826294.74,89932744.98,74539986.74,78845463.65,70548834.39,68833141.69,79040400.7,82794586.63,106230481.4,43912267.73,33550861.99,119185035.9,61913279.83,61913279.83,147323542.5,33530199.27,71869456.61,69484952.31,95632887.83,178074227.4,354985140.4,72144429.14,60169079.24,52528206.06,84544151.16,108166375.5,138548761.5,63564523.02,121819048.3,215077928.2,291051876.8,89659098.09,64582080.42,21694190.32,21914530.63,55874555.58,55874555.58,35419597.23,32768405.06,66109260.56,71333268.24,74755229.4,109403906.9,223175037.8,52327366.59,40626040.12,46412666.63,49124965.41,56782953.23,56571208.87,54820268.55,74581639.68,316252206,443080025,85662870.6,89419320.89,59291408.01,60180794.57,63130862.19,63130862.19,85916365.16,81692641.04,92353069.3,72570880.31,94664977.63,115678838.7,275885155.2,56635425.27,55462495.75,54712538.26,68015532.33,61119248.67,64908543.69,93296458.45,109015733.2,172951077.8,162787359,91481828.9,92354950.17,63157563.59,54790687.13,89779447.71,89779447.71,62794880.13
ERK1,34169406.99,38239427.02,32441854.18,39055006,37550002.62,34641801.79,24033439.47,22222717.2,27695318.67,27839741.22,33381128.93,34530613.96,23976889.36,34064135.37,27739592.75,25802276.33,29906250.76,28536787.44,40314677.46,36662547.75,43236180.41,43236180.41,38407259.23,32114742.94,33880401.69,29470678.51,34847784.18,42295021.65,33422094.31,21055563.62,22219113,25957117.34,29667299.45,25628565.53,25701049.54,24748811.12,24769861.24,23678472.45,24519438.59,25538407.64,23169117.45,32123912.89,36569012.8,33365633.35,33365633.35,37059145.06,46472275.92,35084029.07,32648401.23,34008805.98,52274009.93,35913425.65,22300544.1,21098651.82,24442804.34,28710911.37,21536097.18,21269293.39,17561304.69,25272112.22,17664326.9,24164783.09,28071309.68,26356425.45,26358464.1,33904336.49,32781059.48,32781059.48,34462914.23,98140508.04,14303870.53,23769408.32,36516112.32,50586701.95,41159478.64,24033191.65,23256279.37,28131443.13,25484871.26,11403109.19,7369450.77,7618822.58,9101634.38,6811327.98,11189644.68,16207360.72,12120591.47,8043704.04,8979586.24,18591367.03,18591367.03,13548760.83,30196181.76,24038030.82,23894803.31,19924877.79,34745891.81,28012024.53,17852788.92,16030120.57,31396488.11,33346657.96,19183609.76,25916581.81,15657958.05,23315064.1,32208623.06,44343763.18,26413569.27,18778135.97,11958358.51,12174050.14,8926454.15,8926454.15,10623286.69,279470819.3,22726011.66,29028080.65,10139584.03,31895554.32,26717277.78,6971576.17,7003697.88,9544610.88,6613525.86,8916177.27,5065073.05,6259191.78,5197827.26,4286859.11,5356468.96,3820418.64,3708865.22,1998935.68,1854173.78,8108504.75,8108504.75,7747696.37,16551404.47,35417067.49,28104683.36,29672516.43,43379499.22,43651554.41,18739955.48,20410645.12,29330609.32,26004556.28,29078111.5,19612035.7,17941120.37,33104815.75,41740475.09,56192141.95,20762631.13,33119845.78,15320560.54,6424107.83,17444109.89,17444109.89,10008646.21,41286966.39,29931379.71,27591182.06,29539133.17,36121933.43,30377251.47,23261596.84,23245962.95,28524643.61,25717235.77,30432766.99,30047342.17,40913041.55,29446427.24,18511894.04,25907136.04,19492993.58,20811980.1,16254140.89,18699626.33,17545662.76,17545662.76,26706291.19,24510068.9,27985182.4,24220545.26,29742708.54,25030120.2,28396389.69,24687686.61,25787002.52,27891639.15,29707282.96,33485740.21,25452847.18,30663773.2,29301180.64,35762481.61,30094518.06,27696387.2,25463147.93,22163711.26,20011174.18,20504605.51,20504605.51,29634979.77
ERK2,46092045.78,49575613.78,44564592.88,47760593.8,50898667.44,51771490.13,33591237.8,36659472.56,44447345.5,39598339.85,49901998.1,56053932.5,51293506.01,58859623.19,52121076.77,57453829.74,50013266.31,52196198.87,59785140.99,46560874.47,56701994.1,56701994.1,57513275.63,41369146.71,47256429.66,41901722.57,46293492.56,62175898.42,54557967.5,29741489.73,49758624.89,37785414.27,45924060.26,40980654.82,43680423.78,47943773.5,48881640.55,46690126.65,51436934.57,50624399.06,46983453.42,55716166.15,59243812.09,54455355.36,54455355.36,42433541.02,63376967.49,45510230.71,42893896.36,44576326.99,72857557.97,54599958.84,33875930.76,34904720.02,39225441.51,45958242.83,35994169.11,35944908.65,34598552.43,43614510.92,30994966.3,47452983.28,49116603.46,47781413.65,46899037.25,50959503.83,51627901.43,51627901.43,56267994.74,95187240.85,16133210.42,27595134.49,51904522.26,69413895.72,61337286.56,42007707.97,46805936.96,58762521.01,42602343.36,18235862.29,17264909.34,16106225.2,19549644.29,17207938.83,28326327.39,34463354.09,24387631.48,14629757.5,15289967,32979654.03,32979654.03,21728975.53,39366671.19,30531371,30529024.06,28488681.58,40983836.03,45835898.2,28732756.49,31218912.37,61341580.42,57906384.41,38902575.21,44661370,35547333.65,53045832.64,68268618.67,75479707.87,53793139.46,36924351.61,24761223.06,19211434.22,16347813.13,16347813.13,15065087.99,343609942.7,24652347.74,31757324.09,10205447.6,38863105.74,38414311.12,8366487.36,7656516.98,13910385.24,13056439.78,13932838.96,14308002.79,14774874.14,15452859.63,15393105.54,14411960.1,9418647.2,7034491.13,3945720.67,2964397.78,14084163.84,14084163.84,16872699.29,18153458.27,46592176.87,30390551.89,37755038.14,52208078.99,67449643.23,36374804.3,41365959.65,57249985.71,52794658.85,65188283.13,39493523.46,40263804.22,75461273.45,72572434.81,75773223.09,35717254.82,48421313.35,24397842.78,12750864.75,31072096.79,31072096.79,18367460.83,44826199.17,36943018.8,36585918.07,42473882.16,49368516.8,46156269.34,34086467.69,44870372.87,48977560.9,48269362.47,62135097.17,57388901.51,60089792.74,58311606.26,34995792.76,39689596.34,29083590.64,28821112.1,29178689.51,30763023.3,27362037.2,27362037.2,43066918.5,33651577.69,33882658.2,30639584.95,36229675.67,40542850.82,41547979.14,38380630.51,51930335.49,45143188.73,50100911.87,53079507.35,49686330.65,58741885.28,52540140.16,69910473.25,48083253.87,43211828.06,41983751.36,33742384.94,30571582.5,38111499.96,38111499.96,38756316.11
ERK5,17200553.31,16265853.95,18916418.95,27472919.72,17645578.06,17028667.46,16782903.42,16977303.24,17659082.37,16412204.89,17073503.19,19645484.44,14847395.74,17885718.64,16446637.76,18547716.99,14436072.06,16684955.39,13815838.08,13489458.26,15000608.71,15000608.71,17281980.77,18467571.42,17267030.21,19154343.46,29560226.52,18857429.47,14958493.91,15578346.04,14143875.34,14883089.81,15490694.45,14584760.15,14767583.26,16299922.74,14485724.55,14969234.73,14184883.92,14928352.51,15135748.94,17688611.56,17724644.7,17036527.73,17036527.73,17592477.39,27366577.13,15789265.32,17482439.98,27674850.02,25234488.34,15708249.48,14036205.12,14445067.93,15574652.53,16460436.78,11378707.18,10772065.84,11564731.41,12015587.65,12083193.85,15187308.47,13534592.82,15442739.47,12596299.62,12749759.79,13827755.35,13827755.35,14863865.98,26486697.73,8382994.1,10918413.67,29057035,21679911.12,13861124.16,12414708.25,18025771.82,33256876.65,24083634.04,8289379.62,6711947.64,7952520.48,7149388.51,10035316.4,8757371.94,11692801.6,7687612.43,6178770.3,6097212.5,12295988.24,12295988.24,10262550,16144307.91,11538086.17,13656582.81,23833787.66,27315856.81,16871469.88,9844392.69,9758562.41,22990411.19,23700468.07,13645010.66,17185344.19,12054203.29,18308216.1,11901610.27,14025798.32,14539761.21,13534966.34,10632157.78,9229705.21,7726624.56,7726624.56,13487496.89,50065886.01,22072149.49,69469164.59,21861749.51,23803947.14,11947004.48,5641196.41,4918256.16,7146640.49,6921157.26,6220914.62,5672394.33,7058650.38,6162986.19,5934883.48,6232587.36,5794574.68,6131351.94,4942232.05,4476070.72,8359596.19,8359596.19,6848887.37,11481503.57,15194875.13,12239338.13,24011093.34,15422759.85,18302307.5,17532574.7,16372101.99,15446951.72,16384558.48,13759921.23,14308849.81,16608351.33,13895728.28,18723103.2,30334906.07,14041928.1,14588308.37,8769952.28,7861440.63,11796284.46,11796284.46,8894070.45,17628789.58,17770574.28,15541131.92,25649691.63,19384651.67,15898078.93,16903547.07,22579299.06,19750157.74,17459071.44,14670107.21,17171203.67,18633938.11,13809712.33,9188167.05,12376318.88,12752472.17,12299917.76,13496648.78,12884396.75,10940511.09,10940511.09,15407184.78,17266593.02,17897176.81,15600255.83,27503686.54,36785659.47,29820720.82,16131396.54,16507183.64,15188517.56,16427537.06,15247223.7,16048267.37,19939342.66,17357905.73,15657437.57,15533057.06,17623015.01,13224724.79,19806852.58,15725355.87,14281477.03,14281477.03,13812951.64
ERK7,35494363.45,32517428.64,32130495.74,40155073.19,39351453.81,42422647.99,27282648.43,24792576.01,22514403.09,24343723.71,31655323.67,31877868.45,25783055.71,31880878.18,37600770.04,36941070.55,30995900.94,26578671.28,29478822.94,25650969.68,26991306.11,26991306.11,30092633.15,28733510.09,31860272.66,28158679.1,34056772.94,43694444.99,45285513.5,25455429.89,23526114.1,25953968.42,25738548.86,23670048.3,25862282.75,27567342.97,29381357.39,26977160.72,29829751.11,27849959.28,28042031.63,24167202.34,27368842.49,24001949.08,24001949.08,24503211.39,28592185.48,39039551.37,33949069.73,36005303.22,47076069.47,44245321.07,22530160.63,22666476.61,25692909.76,25336199.08,22954952.2,22733658.29,22958142.98,27157653.4,23478828.04,24193835.25,26477803.51,25154133.19,25873467.53,24533096.77,24411088.31,24411088.31,22480345.58,47527311.31,21689237.71,31187867.97,36464953.49,27039829.32,24690443.31,25808759.22,26806116.57,34960781.18,30127699.31,15774749.32,15818883.87,16473959.57,16914429.74,14914542.1,18726497.13,23194921.35,21622826.64,14475785.03,13509962.14,17686047.85,17686047.85,15614742.19,23843789.58,19664591.18,23914427.01,26449507.35,33550596.11,40358303.62,23917303.11,22995022.81,39618740.28,32935732.13,27773489.83,34388118.55,27055400.49,27047784.55,28412057.93,31474658.59,22777084.89,20215212.81,16490727.55,13255495.19,10627272.81,10627272.81,12464929.74,131480461.4,28321972.88,53488798.6,15754968.38,34423806.98,34385819,11397005.91,5960652.65,7296778.27,9982550,32890604.19,39009658.43,20485436.48,38011669.93,11673824.67,28036663.48,15637533.51,11784746.91,5789178.5,8380906,8789179.2,8789179.2,16251067.37,7748035.89,9118839.96,7658664.68,10496094.58,26093054.07,39212895.06,7436632.32,6969942.93,7611425.22,6841150.78,7673304.31,9085675.08,9352391.01,23150089.91,40065314.41,503454205.2,20103803.3,9983148.36,5440516.05,4632223.56,8266656.51,8266656.51,7135123.66,28062492.8,31948416.94,29897288.04,24351472.29,31894658.44,25224018.78,21131558.99,15954020.09,22665649.71,21302506.32,23317814.05,24085880.07,22012351.03,26241558.72,42992444.27,61700234,23923793.3,23005150.79,17728795.48,17462899.39,17424190.53,17424190.53,15790256.11,31429036.29,31361400.87,31839609.8,26322973.62,36353209.58,36415523.84,23874003.51,24500978.33,26967688.48,27361860.74,26338305.06,24566522.77,33227865.77,27683813.68,39924480.46,41320020.12,28919282.98,24204611.03,20596468.04,18259824.82,16385408.56,16385408.56,14521086.1
FAM20C,31931898.77,39905244.88,43113394.09,56694445.51,115141041.8,33554990.31,36320802.9,28463834.11,31533698.08,28846308.46,39510137.71,25008646.01,38208318.44,54060324.62,33957257.76,30664318.92,34375284.07,43335260.12,55156278.99,49695905.25,39752052.61,39752052.61,44919463.9,39131147.58,46396391.85,41860774.02,44318446.02,88642963.31,33764813.11,32275426.2,29053578.41,30421930.31,32686346.92,27127533.56,27113687.78,32974404.8,37641875.61,27435421.08,27629503.11,36701172.12,39657256.44,61936407.82,56038528.53,50944862.06,50944862.06,40692145.65,36712417.93,53070285.77,33211285.25,37592292.61,74388789.92,32078988.34,24906136.39,22580796.52,35325428.79,31057730.64,25278529.31,30469758.36,31438279.45,34661705.43,26239153.07,33487329.85,38919474.6,43898741.38,58678127.13,60487890.32,54461712.22,54461712.22,59945481.36,37581351.4,43311536.4,43390289.77,40563214.49,42533859.49,35833452.95,23765836.27,22493785.01,19717615.56,22847749.88,32218761.11,28855465.62,26953899.95,36582564.44,21954193.26,20759375.83,27454168.54,60936479.78,67618173.56,40224198.57,36936733.05,36936733.05,66591584.74,11587272.12,50209373.11,48576837.17,65955535.13,139006279.6,78782545.5,30861851.94,17855285.13,18528294.91,21191232.14,16167681.07,26030637.3,32035003.44,49112883.51,22493673.78,26159255.06,35662452.41,83758810.96,105679542.1,53424307.95,30437333.72,30437333.72,41084661.19,9229974.92,58772769.62,64389422.75,49441977.41,156025193.9,38316195.49,22527585.14,18962925.99,19712798.55,40550263.33,19600395.38,23711267.3,25374414.16,50666588.4,29965260.59,34950608.36,45961592.92,39478154.68,37745333.62,78425695.71,23369893.42,23369893.42,25497435.56,9194297.97,10910145.9,12405146.32,13970247.57,58102233.89,10688532.94,9155956.92,7934369.4,8123120.56,10450472.21,8818560.7,10170149.01,10631853.26,12789567.83,9426249.15,10212652.3,23176848.76,14126567.08,36140046.82,664633637.6,38005698.7,38005698.7,51994880.05,9030735.95,18534328.81,28477647.57,51284867.17,29926382.54,24740730.2,48525216.53,40573953.41,38335257.57,31657176.94,22335084.47,27217998.52,29740163.07,30911259.67,18496228.91,21603438.03,41814478.9,30246872.53,79006712.34,92258722.14,45919115.62,45919115.62,76916160.94,26137452.42,48720460.74,31459485.72,46567011.97,37776651.45,40072899.65,34230025.94,34412896.05,26500699.92,30944349.52,27757588.01,30727463,35380822.77,29391529.48,20415193.53,19212888.99,29039391.02,27123064.11,56334071.16,64225527.04,103013668.6,103013668.6,92112230.09
