kinase,max
EPHA4,0.18088
MOS,0.17808
WNK3,0.17771
GCK,0.17755
MST2,0.17714
JAK3,0.17679
BLK,0.17652
MST1,0.17534
TAO1,0.17494
EEF2K,0.17273
CSK,0.1686
IRAK1,0.16849
PHKG2,0.16813
EPHA5,0.16755
PKCG,0.16722
PLK4,0.16667
OSR1,0.16667
KIT,0.16562
NEK4,0.16404
TESK1,0.16201
NEK1,0.16078
DDR2,0.16065
BUB1,0.16038
MLK2,0.15932
MST1R,0.15928
AXL,0.15887
JAK1,0.15679
FGFR3,0.15649
WEE1,0.15638
IRAK4,0.1559
TEK,0.15502
BTK,0.15285
BMX,0.15267
LCK,0.15235
FER,0.15219
LYN,0.151
TAO2,0.15076
PTK2B,0.15066
FYN,0.15028
FGFR4,0.14957
NTRK2,0.1484
ERBB4,0.14714
EPHA8,0.14654
FLT1,0.14559
MET,0.14538
FLT4,0.14454
CSF1R,0.14451
TEC,0.14422
TYK2,0.14333
EPHA3,0.14333
TXK,0.1432
TTBK1,0.14318
ITK,0.14267
MERTK,0.14207
HCK,0.1419
LTK,0.14143
SRC,0.14132
FRK,0.1411
KDR,0.14066
FGR,0.14054
YES1,0.13969
ROS1,0.13755
NEK9,0.13694
PDGFRA,0.13652
MUSK,0.13575
PTK6,0.13491
EPHB4,0.13484
EPHB3,0.13435
ABL2,0.13359
FGFR1,0.13358
EPHB1,0.13318
MATK,0.13281
MLK1,0.13194
JAK2,0.13118
ABL1,0.1301
FES,0.12955
FGFR2,0.12906
MLK3,0.12824
INSRR,0.12777
IGF1R,0.12543
ALK,0.12527
EPHB2,0.12415
RET,0.1238
PDGFRB,0.12311
INSR,0.12293
TAK1,0.12291
TNK1,0.12133
FLT3,0.1213
TYRO3,0.12123
NTRK1,0.11467
NTRK3,0.11355
